components,disease_name,functions,indication,medicine_name,usage
本品主要成份为加替沙星。化学名称:1-环丙基-6-氟-1，4-二氢-8-甲氧基-7-（3-甲基-1-哌嗪基）...,结膜炎,对加替沙星敏感的葡萄球菌属、链球菌属、肺炎球菌、细菌菌属、棒状杆菌属、布兰氏卡他...,肺炎麦粒肿泪囊炎结膜炎角膜炎角膜溃疡溃疡,加替沙星滴眼液(老拨云堂),第1～2天：清醒状态下，2小时1次，1次1滴，每天8次；第3～7天：清醒状态下，每天4次，1次1...
亿方拔罐器（手拧式）”主要由手柄、罐体、活塞、磁片等部件所组成，集罐疗与磁疗两种...,红眼病,“亿方拔罐器（手拧式）”具有疏通经络、行气活血、祛邪扶正、调整脏腑、镇静止痛、消...,,亿方拔罐器（手宁式）,
羚羊角，蒺藜，木贼，菊花，车前子，夏枯草，决明子，人参，山茱萸，石斛，枸杞子，菟...,白内障,滋补肝肾，养阴生津，清肝明目。用于青光眼，初、中期白内障及肝肾阴虚引起的羞明畏光...,肾阴虚羞明畏光视物模糊青光眼白内障,复明片(碑林),口服。一次5片，一日3次，每疗程30天。
本品每片含主要成分维生素B25毫克。,沙眼,用于预防和治疗维生素B2缺乏症，如口角炎、唇干裂、舌炎、阴囊炎、结膜炎、脂溢性皮炎...,口角炎阴囊炎结膜炎脂溢性皮炎皮炎唇干裂舌炎,维生素B2片,口服，一次1-2片，一日3次。
本品主要成份为盐酸左氧氟沙星，其化学名称为(S)(-)9-氟-2，3-二氢-3-甲基-10-(4-甲基-1-哌嗪...,结膜炎,本品适用于细菌性结膜炎、角膜炎、角膜溃疡、泪囊炎、术后感染等外眼感染。,结膜炎角膜炎泪囊炎角膜溃疡溃疡,盐酸左氧氟沙星眼用凝胶(杰奇),涂于眼下睑穹窿部，每日3次(早、中、晚各一次)
本品主要成分为依巴斯汀。化学名为：4'-叔丁基-4［4-（二苯基甲氧基）哌啶基］丙基苯基...,结膜炎,适用于伴有或不伴有过敏性结膜炎的过敏性鼻炎（季节性和常年性）。慢性特发性荨麻疹的...,过敏结膜炎过敏性鼻炎鼻炎荨麻疹麻疹,依巴斯汀片(思金),"口服,成人用量为每日一次,每次一片(10mg)。"
阿奇霉素,沙眼,本品适用于敏感细菌所引起的下列感染中耳炎、鼻窦炎、咽炎、扁桃体炎等上呼吸道感染；...,中耳炎鼻窦炎咽炎扁桃体炎支气管炎气管炎肺炎沙眼上呼吸道感染下呼吸道感染软组织感染,阿奇霉素分散片(阿宁),以阿奇霉素分散片治疗感染疾病，服用前用水分散后口服直接吞服。其疗程及使用方法如下...
主要成份：罗红霉素。,沙眼,本品适用于化脓性链球菌引起的咽炎及扁桃体炎，敏感菌所致的鼻窦炎、中耳炎、急性支气...,咽炎扁桃体炎鼻窦炎中耳炎急性支气管炎支气管炎气管炎慢性支气管炎肺炎沙眼尿道炎宫颈炎皮肤软组织感染软组织感染,罗红霉素胶囊(诺捷康),空腹口服，一般疗程为5～12日。成人一次150mg，一日2次；也可一次300mg，一日1次。儿童一...
羚羊角、蒺藜、木贼、菊花、车前子、夏枯草、决明子、人参、山茱萸（制）、石斛、枸杞...,白内障,滋补肝肾，养阴生津，清肝明目。用于青光眼，初、中期白内障及肝肾虚引起的羞明畏光，...,羞明畏光视物模糊青光眼白内障肾虚,复明胶囊(君寿),口服。一次5粒，一日3次，每疗程30天。
"主要成分：吡诺克辛钠化学名：1-羟-5-氧-5H-吡啶并-[3,2-?]-吩恶嗪-3-羧酸；分子式与分子量：...",白内障,主要治疗初期老年性白内障、轻度糖尿病性白内障或并发性白内障等。,白内障糖尿病糖尿,吡诺克辛钠滴眼液(白内停),滴眼。一次1～2滴，一日3～4次。
人工牛黄、人工麝香、熊胆、珍珠、冰片、磞砂、琥珀、珊瑚、海螵峭、红丹、大青盐、石...,沙眼,明目消炎。用于目赤肿痛，暴发火眼，眼赤烂，轻沙眼,目赤沙眼,特灵眼药(金牛牌),用玻璃棍蘸冷开水，蘸药少许，点于眼内，一日1～3次。
本品主要成份为：氧氟沙星。,新生儿泪囊炎,适用于治疗细菌性结膜炎、角膜炎、角膜溃疡、泪囊炎、术后感染等外眼感染。,麦粒肿泪囊炎结膜炎角膜炎沙眼角膜溃疡溃疡,氧氟沙星眼膏,局部用药：涂于眼睑内，一日3次，一次适量。或遵医嘱。
本品每克含红霉素12.5毫克，辅料为:黄凡士林、液状石蜡。,沙眼,用于沙眼、结膜炎、角膜炎、眼睑缘炎及眼外部感染。,沙眼结膜炎角膜炎睑缘炎,红霉素眼膏(双吉),涂于眼睑内，一日2～3次，最后一次宜在睡前使用。
本品每克含主要成份红霉素5毫克，辅料为赋形剂液体石蜡、凡士林。,沙眼,用于沙眼、结膜炎、眼缘炎及眼外部感染。,沙眼结膜炎角膜炎睑缘炎,红霉素眼膏(白敬宇),涂于眼睑内，一日2～3次，最后一次宜在睡前使用。
氢化可的松,虹膜睫状体炎,1.用于肾上腺功能不全所引起的疾病、类风湿性关节炎、风湿性发热、痛风、支气管哮喘等...,肾上腺皮质功能减退症类风湿性关节炎风湿性关节炎痛风支气管哮喘哮喘过敏休克皮质功能减退,氢化可的松,1.醋酸氢化可的松片：口服每次1片(含药20mg)，1日1～2次。醋酸氢化可的松软膏，1%软膏，外...
氢化可的松,虹膜睫状体炎,1.用于肾上腺功能不全所引起的疾病、类风湿性关节炎、风湿性发热、痛风、支气管哮喘等...,肾上腺皮质功能减退症类风湿性关节炎风湿性关节炎痛风支气管哮喘哮喘过敏休克皮质功能减退,氢化可的松,1.醋酸氢化可的松片：口服每次1片(含药20mg)，1日1～2次。醋酸氢化可的松软膏，1%软膏，外...
"本品主要成分：醋酸氢化可的松化学名：11β,17α,21-三羟基孕甾-4-烯-3,20-二酮21-醋酸...",虹膜睫状体炎,用于虹膜睫状体炎、角膜炎、虹膜炎、结膜炎等。,虹膜睫状体炎角膜炎结膜炎,醋酸氢化可的松滴眼液,滴眼：一日3-4次，用前摇匀。
"本品主要成份:乳酸左氧氟沙星。化学名称:(S)-(-)-9-氟-2,3-二氢-3-甲基-10-（4-甲基-1-哌嗪基）-...",新生儿泪囊炎,适用于治疗细菌性结膜炎、角膜炎、角膜溃疡、泪囊炎等外眼感染。,结膜炎角膜炎泪囊炎角膜溃疡溃疡,乳酸左氧氟沙星滴眼液(科瑞),滴于眼脸内，一次1～滴，一日3～5次，或遵医嘱。
"本品主要成份为：地塞米松磷酸钠。其化学名称为:16?-甲基-11β,17?,21-三羟基-9?-氟孕甾-1,4-二...",虹膜睫状体炎,用于虹膜睫状体炎、虹膜炎、角膜炎、过敏性结膜炎、眼睑炎、泪囊炎等。,虹膜睫状体炎角膜炎过敏结膜炎泪囊炎,地塞米松磷酸钠滴眼液(三益),滴眼：一日3-4次，用前摇匀。
本品主要成份为环磷酰胺。其化学名称为：P-［N，N-双(β-氯乙基)］-1-氧-3-氮-2-磷杂环己烷-P...,视网膜母细胞瘤,环磷酰胺是广泛应用的抗癌药物之一，治疗恶性淋巴瘤、多发性骨髓瘤、乳腺癌、小细胞肺...,恶性淋巴瘤淋巴瘤多发性骨髓瘤骨髓瘤乳腺癌小细胞肺癌肺癌卵巢癌神经母细胞瘤视网膜母细胞瘤软组织肉瘤肉瘤急性白血病白血病慢性淋巴细胞白血病淋巴细胞白血病,环磷酰胺,"成人常用量：单药静脉注射按体表面积每次500～1000mg/m2，加生理盐水20～30ml,静脉注射，每..."
本品主要成份为环磷酰胺。其化学名称为：P-［N，N-双(β-氯乙基)］-1-氧-3-氮-2-磷杂环己烷-P...,视网膜母细胞瘤,环磷酰胺是广泛应用的抗癌药物之一，治疗恶性淋巴瘤、多发性骨髓瘤、乳腺癌、小细胞肺...,恶性淋巴瘤淋巴瘤多发性骨髓瘤骨髓瘤乳腺癌小细胞肺癌肺癌卵巢癌神经母细胞瘤视网膜母细胞瘤软组织肉瘤肉瘤急性白血病白血病慢性淋巴细胞白血病淋巴细胞白血病,环磷酰胺,"成人常用量：单药静脉注射按体表面积每次500～1000mg/m2，加生理盐水20～30ml,静脉注射，每..."
本品主要成份为环磷酰胺。其化学名称为：P-［N，N-双(β-氯乙基)］-1-氧-3-氮-2-磷杂环己烷-P...,视网膜母细胞瘤,环磷酰胺是广泛应用的抗癌药物之一，治疗恶性淋巴瘤、多发性骨髓瘤、乳腺癌、小细胞肺...,恶性淋巴瘤淋巴瘤多发性骨髓瘤骨髓瘤乳腺癌小细胞肺癌肺癌卵巢癌神经母细胞瘤视网膜母细胞瘤软组织肉瘤肉瘤急性白血病白血病慢性淋巴细胞白血病淋巴细胞白血病,环磷酰胺,"成人常用量：单药静脉注射按体表面积每次500～1000mg/m2，加生理盐水20～30ml,静脉注射，每..."
本品为牛或猪眼球经消毒后以乙醇沉淀蛋白质后制得的灭菌水溶液,虹膜睫状体炎,用于非化脓性角膜炎、虹膜睫状体炎、中心视网膜炎、玻璃体浑浊、巩膜炎等眼疾。,化脓性角膜炎角膜炎虹膜睫状体炎网膜炎巩膜炎,眼氨肽注射液,"皮下或肌内注射。一次1ml-2ml,一日1次，15--30天为1疗程。球结膜下注射。一次0.5ml,一日1次..."
甲泼尼龙。,虹膜睫状体炎,糖皮质激素只能作为对症治疗，只有在某些内分泌失调的情况下，才能作为替代药品。甲...,过敏性与自身免疫性炎症性疾病,甲泼尼龙片(美卓乐),根据不同疾病的治疗需要，甲泼尼龙片的初始剂量可每天4mg到48mg甲泼尼龙之间调整。症状...
本品主要成份为环磷酰胺。其化学名称为：P-［N，N-双(β-氯乙基)］-1-氧-3-氮-2-磷杂环己烷-P...,视网膜母细胞瘤,环磷酰胺是广泛应用的抗癌药物之一，治疗恶性淋巴瘤、多发性骨髓瘤、乳腺癌、小细胞肺...,恶性淋巴瘤淋巴瘤多发性骨髓瘤骨髓瘤乳腺癌小细胞肺癌肺癌卵巢癌神经母细胞瘤视网膜母细胞瘤软组织肉瘤肉瘤急性白血病白血病慢性淋巴细胞白血病淋巴细胞白血病,环磷酰胺,"成人常用量：单药静脉注射按体表面积每次500～1000mg/m2，加生理盐水20～30ml,静脉注射，每..."
灯盏细辛浸膏。化学成分主要有黄酮类(主要成分)、内酯、氨基酸、多糖等，如焦福康酸(P...,视网膜静脉阻塞,活血化瘀，有改善脑血循环，增加脑血流量，增加心肌对缺血、缺氧的耐受性，改善微循环...,脑出血瘫痪视网膜静脉阻塞冠心病血管炎皮肤病,益脉康片(云丰),口服。一次2片，一日三次。
灯盏细辛浸膏,视网膜静脉阻塞,活血化瘀，有改善脑血循环，增加脑血流量，增加心肌对缺血缺氧的耐受性，改善微循环的...,血缺氧脑出血瘫痪视网膜静脉阻塞冠心病血管炎皮肤病,益脉康胶囊(敖东),口服。一次2粒，一日3次。
本品主要成份为环磷酰胺。其化学名称为：P-［N，N-双(β-氯乙基)］-1-氧-3-氮-2-磷杂环己烷-P...,视网膜母细胞瘤,环磷酰胺是广泛应用的抗癌药物之一，治疗恶性淋巴瘤、多发性骨髓瘤、乳腺癌、小细胞肺...,恶性淋巴瘤淋巴瘤多发性骨髓瘤骨髓瘤乳腺癌小细胞肺癌肺癌卵巢癌神经母细胞瘤视网膜母细胞瘤软组织肉瘤肉瘤急性白血病白血病慢性淋巴细胞白血病淋巴细胞白血病,环磷酰胺,"成人常用量：单药静脉注射按体表面积每次500～1000mg/m2，加生理盐水20～30ml,静脉注射，每..."
本品主要成份为环磷酰胺。其化学名称为：P-［N，N-双(β-氯乙基)］-1-氧-3-氮-2-磷杂环己烷-P...,视网膜母细胞瘤,环磷酰胺是广泛应用的抗癌药物之一，治疗恶性淋巴瘤、多发性骨髓瘤、乳腺癌、小细胞肺...,恶性淋巴瘤淋巴瘤多发性骨髓瘤骨髓瘤乳腺癌小细胞肺癌肺癌卵巢癌神经母细胞瘤视网膜母细胞瘤软组织肉瘤肉瘤急性白血病白血病慢性淋巴细胞白血病淋巴细胞白血病,环磷酰胺,"成人常用量：单药静脉注射按体表面积每次500～1000mg/m2，加生理盐水20～30ml,静脉注射，每..."
替莫唑胺,视网膜母细胞瘤,本品用于治疗:新诊断的多形性胶质母细胞瘤，开始先与放疗联合治疗，随后作为辅助治疗...,胶质母细胞瘤变性星形细胞瘤,替莫唑胺胶囊(蒂清),"本药第一疗程28天，最初剂量为按体表面积口服一次150mg/m2,一日一次。在28天为一治疗周期..."
三七总皂苷。,视网膜母细胞瘤,适用于视网膜中央静脉阻塞，眼前房出血，青光眼，脑血管病后遗症的治疗，也可用于治疗...,视网膜中央静脉阻塞青光眼病毒性肝炎肝炎,血塞通注射液,肌内注射。一次100毫克，一日1～2次；静脉滴注。一次200～400毫克，以5%～10%葡萄糖注射液25...
甲泼尼龙琥珀酸钠。,视网膜动脉阻塞,除非用于某些内分泌疾病的替代治疗，糖皮质激素仅仅是一种对症治疗的药物。1.抗炎治疗...,骨关节炎类风湿性关节炎风湿性关节炎幼年型类风湿性关节炎滑囊炎痛风痛风性关节炎银屑病银屑病关节炎强直性脊柱炎脊柱炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎心肌炎皮肌炎多发性肌炎结节性多动脉炎动脉炎天疱疮多形红斑皮炎脂溢性皮炎蕈样真菌病荨麻疹麻疹过敏支气管哮喘哮喘接触性皮炎异位性皮炎血清病过敏性鼻炎鼻炎药物过敏眼部带状疱疹带状疱疹虹膜睫状体炎网膜炎脉络膜炎创伤结节剥脱性皮炎疱疹药物过敏反应喉头水肿水肿溃疡无尿利尿蛋白尿血小板减少脑水肿硬化恶心,注射用甲泼尼龙琥珀酸钠,作为对生命构成威胁的情况的辅助药物时，推荐剂量为30mg/kg，应至少用30分钟静脉注射。根...
甲泼尼龙琥珀酸钠。,视网膜动脉阻塞,除非用于某些内分泌疾病的替代治疗，糖皮质激素仅仅是一种对症治疗的药物。1.抗炎治疗...,骨关节炎类风湿性关节炎风湿性关节炎幼年型类风湿性关节炎滑囊炎痛风痛风性关节炎银屑病银屑病关节炎强直性脊柱炎脊柱炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎心肌炎皮肌炎多发性肌炎结节性多动脉炎动脉炎天疱疮多形红斑皮炎脂溢性皮炎蕈样真菌病荨麻疹麻疹过敏支气管哮喘哮喘接触性皮炎异位性皮炎血清病过敏性鼻炎鼻炎药物过敏眼部带状疱疹带状疱疹虹膜睫状体炎网膜炎脉络膜炎创伤结节剥脱性皮炎疱疹药物过敏反应喉头水肿水肿溃疡无尿利尿蛋白尿血小板减少脑水肿硬化恶心,注射用甲泼尼龙琥珀酸钠(米乐松),作为对生命构成威胁的情况的辅助药物时，推荐剂量为30mg/kg，应至少用30分钟静脉注射。...
甲泼尼龙琥珀酸钠。,视网膜动脉阻塞,除非用于某些内分泌疾病的替代治疗，糖皮质激素仅仅是一种对症治疗的药物。1.抗炎治疗...,骨关节炎类风湿性关节炎风湿性关节炎幼年型类风湿性关节炎滑囊炎痛风痛风性关节炎银屑病银屑病关节炎强直性脊柱炎脊柱炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎心肌炎皮肌炎多发性肌炎结节性多动脉炎动脉炎天疱疮多形红斑皮炎脂溢性皮炎蕈样真菌病荨麻疹麻疹过敏支气管哮喘哮喘接触性皮炎异位性皮炎血清病过敏性鼻炎鼻炎药物过敏眼部带状疱疹带状疱疹虹膜睫状体炎网膜炎脉络膜炎创伤结节剥脱性皮炎疱疹药物过敏反应喉头水肿水肿溃疡无尿利尿蛋白尿血小板减少脑水肿硬化恶心,注射用甲泼尼龙琥珀酸钠,作为对生命构成威胁的情况的辅助药物时，推荐剂量为30mg/kg，应至少用30分钟静脉注射。根...
甲泼尼龙琥珀酸钠。,视网膜动脉阻塞,除非用于某些内分泌疾病的替代治疗，糖皮质激素仅仅是一种对症治疗的药物。1.抗炎治疗...,骨关节炎类风湿性关节炎风湿性关节炎幼年型类风湿性关节炎滑囊炎痛风痛风性关节炎银屑病银屑病关节炎强直性脊柱炎脊柱炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎心肌炎皮肌炎多发性肌炎结节性多动脉炎动脉炎天疱疮多形红斑皮炎脂溢性皮炎蕈样真菌病荨麻疹麻疹过敏支气管哮喘哮喘接触性皮炎异位性皮炎血清病过敏性鼻炎鼻炎药物过敏眼部带状疱疹带状疱疹虹膜睫状体炎网膜炎脉络膜炎创伤结节剥脱性皮炎疱疹药物过敏反应喉头水肿水肿溃疡无尿利尿蛋白尿血小板减少脑水肿硬化恶心,注射用甲泼尼龙琥珀酸钠(米乐松),作为对生命构成威胁的情况的辅助药物时，推荐剂量为30mg/kg，应至少用30分钟静脉注射。...
该产品为一件式前房人工晶状体，襻型虹膜襻，采用虹膜固定方式。主体和襻由PMMA材料制...,外伤性白内障,"该产品使用于老年性白内障、外伤性白内障、先天性或青年性白内障,及其它方式无法矫正...",,虹膜夹无晶体眼人工晶状体(阿特森),
甲泼尼龙琥珀酸钠。,视网膜动脉阻塞,除非用于某些内分泌疾病的替代治疗，糖皮质激素仅仅是一种对症治疗的药物。1.抗炎治疗...,骨关节炎类风湿性关节炎风湿性关节炎幼年型类风湿性关节炎滑囊炎痛风痛风性关节炎银屑病银屑病关节炎强直性脊柱炎脊柱炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎心肌炎皮肌炎多发性肌炎结节性多动脉炎动脉炎天疱疮多形红斑皮炎脂溢性皮炎蕈样真菌病荨麻疹麻疹过敏支气管哮喘哮喘接触性皮炎异位性皮炎血清病过敏性鼻炎鼻炎药物过敏眼部带状疱疹带状疱疹虹膜睫状体炎网膜炎脉络膜炎创伤结节剥脱性皮炎疱疹药物过敏反应喉头水肿水肿溃疡无尿利尿蛋白尿血小板减少脑水肿硬化恶心,注射用甲泼尼龙琥珀酸钠(米乐松),作为对生命构成威胁的情况的辅助药物时，推荐剂量为30mg/kg，应至少用30分钟静脉注射。...
甲泼尼龙琥珀酸钠。,视网膜动脉阻塞,除非用于某些内分泌疾病的替代治疗，糖皮质激素仅仅是一种对症治疗的药物。1.抗炎治疗...,骨关节炎类风湿性关节炎风湿性关节炎幼年型类风湿性关节炎滑囊炎痛风痛风性关节炎银屑病银屑病关节炎强直性脊柱炎脊柱炎系统性红斑狼疮红斑狼疮狼疮性肾炎肾炎心肌炎皮肌炎多发性肌炎结节性多动脉炎动脉炎天疱疮多形红斑皮炎脂溢性皮炎蕈样真菌病荨麻疹麻疹过敏支气管哮喘哮喘接触性皮炎异位性皮炎血清病过敏性鼻炎鼻炎药物过敏眼部带状疱疹带状疱疹虹膜睫状体炎网膜炎脉络膜炎创伤结节剥脱性皮炎疱疹药物过敏反应喉头水肿水肿溃疡无尿利尿蛋白尿血小板减少脑水肿硬化恶心,注射用甲泼尼龙琥珀酸钠,作为对生命构成威胁的情况的辅助药物时，推荐剂量为30mg/kg，应至少用30分钟静脉注射。...
法可林。化学名称：5，12-二氢-5，7，12，14-四氮戊省2，9-二磺酸钠。,外伤性白内障,用于治疗老年性白内障初发期，外伤性白内障，先天性白内障，继发性白内障。,白内障外伤性白内障先天性白内障,法可林滴眼液,滴眼。一次2～3滴，一日3～5次。
该产品为单片折叠式人工晶体，产品的材料为含水量26%的亲水性丙烯酸，产品由襻和光学部...,外伤性白内障,产品用于白内障(包括老年性白内障、外伤性白内障、先天性白内障等)摘除术后值入，以代...,白内障外伤性白内障先天性白内障,人工晶体(Akreos),
盐酸左氧氟沙星。,暴露性角膜炎,本品适用于治疗敏感细菌引起的细菌性结膜炎、细菌性角膜炎。,肺炎结膜炎泪囊炎角膜炎,左氧氟沙星滴眼液(可乐必妥),"将本品滴入患眼的结膜囊内。每日3－5次,每次1－2滴。推荐疗程：细菌性结膜炎7天、细菌性..."
法可林。化学名称：5，12-二氢-5，7，12，14-四氮戊省2，9-二磺酸钠。,外伤性白内障,用于治疗老年性白内障初发期，外伤性白内障，先天性白内障，继发性白内障。,白内障外伤性白内障先天性白内障,法可林滴眼液,滴眼。一次2～3滴，一日3～5次。
氧氟沙星,细菌性角膜炎,本品适用于治疗细菌性结膜炎、角膜炎、角膜溃疡、泪囊炎、术后感染等外眼感染。,结膜炎角膜炎泪囊炎,氧氟沙星滴眼液(远清),滴于眼睑内，每日3-5次，每次1-2滴，或遵医嘱。
盐酸左氧氟沙星。化学名称：（S）-（-）-9-氟-2，3-二氢-3-甲基-10-（4-甲基-1-哌嗪基）-7-氧-7...,细菌性角膜炎,本品适用于治疗敏感细菌引起的细菌性结膜炎、细菌性角膜炎。,结膜炎细菌性角膜炎角膜炎,盐酸左氧氟沙星滴眼液,将本品滴入患眼的结膜囊内。每日3－5次，每次1－2滴。推荐疗程：细菌性结膜炎7天、细菌...
本品每1毫升含硫酸新霉素3.0毫克、地塞米松磷酸钠1.0毫克、玻璃酸钠2.0毫克。,巩膜炎,用于急、慢性结膜炎、角膜炎、巩膜炎等。,结膜炎角膜炎巩膜炎,复方硫酸新霉素滴眼液,外用，滴眼。一次1-2滴，一日3-5滴。
本品主要成份为氧氟沙星，辅料含增稠剂玻璃酸钠。,细菌性角膜炎,本品适用于治疗细菌性结膜炎、角膜炎、角膜溃疡、泪囊炎、术后感染等外眼感染。,结膜炎角膜炎泪囊炎,氧氟沙星滴眼液(诺青),滴入眼睑内，一日3～5次，一次1～2滴，或遵医嘱。
本品主要成分为盐酸地匹福林，含盐酸地匹福林应为标示量的90.0-115.0%。化学名称为：2，2&amp;...,青光眼睫状体炎综合征,治疗开角型青光眼和高眼压症。对闭角型青光眼虹膜切除后的残余性青光眼有效。对其他类...,开角型青光眼青光眼高眼压症青光眼睫状体炎综合征高眼压,盐酸地匹福林滴眼液,一次1～2滴，一日1～2次，滴于结膜囊内，滴后用手指压迫内眦角泪囊部3～5分钟。
本品主要成分及其化学名称：主要成分是盐酸地匹福林，化学名称为2，2-二甲基丙酸4-［1-...,青光眼睫状体炎综合征,治疗开角型青光眼和高眼压症。对闭角型青光眼虹膜切除后的残余性青光眼有效。对其他类...,开角型青光眼青光眼高眼压症青光眼睫状体炎综合征高眼压,盐酸地匹福林滴眼液,一次1～2滴，一日1～2次，滴于结膜囊内，滴后用手指压迫内毗角泪囊部3～5分钟。
本品每1毫升含硫酸新霉素3.0毫克、地塞米松磷酸钠1.0毫克、玻璃酸钠2.0毫克。,巩膜炎,外眼及眼前部的对症治疗（眼睑炎、结膜炎、角膜炎、巩膜炎、浅层巩膜炎、虹膜睫状体炎...,结膜炎角膜炎巩膜炎虹膜睫状体炎,普拉洛芬滴眼液(普南扑灵),每次1-2滴，每日4次。根据症状可以适当增减次数。
本品主要成分为盐酸地匹福林，含盐酸地匹福林应为标示量的90.0-115.0%。化学名称为：2，2&amp;...,青光眼睫状体炎综合征,治疗开角型青光眼和高眼压症。对闭角型青光眼虹膜切除后的残余性青光眼有效。对其他类...,开角型青光眼青光眼高眼压症青光眼睫状体炎综合征高眼压,盐酸地匹福林滴眼液,一次1～2滴，一日1～2次，滴于结膜囊内，滴后用手指压迫内眦角泪囊部3～5分钟。
双氯芬酸钠diclofenacNa(妊娠分级:B;D-如在妊娠晚期或临近分娩时用药)。,巩膜炎,用于治疗葡萄膜炎、角膜炎、巩膜炎，抑制角膜新生血管的形成，治疗眼内手术后、激光滤...,葡萄膜炎角膜炎巩膜炎白内障春季结膜炎结膜炎过敏黄斑囊样水肿青光眼水肿,双氯芬酸钠滴眼液(乐可),一日4～6次，一次1滴；眼科手术用药：术前3、2、1和0.5小时各滴眼一次，一次1滴。白内障...
普拉洛芬。,巩膜炎,外眼部以及眼前段炎症性疾病（如眼睑炎、结膜炎、角膜炎、巩膜炎、眼前段色素层炎等）...,结膜炎角膜炎巩膜炎虹膜睫状体炎,普拉洛芬滴眼液,每次1-2滴，每日4次。根据症状可以适当增减次数。
本品每1毫升含硫酸新霉素3.0毫克、地塞米松磷酸钠1.0毫克、玻璃酸钠2.0毫克。,巩膜炎,用于急、慢性结膜炎、角膜炎、巩膜炎等。,结膜炎角膜炎巩膜炎,复方硫酸新霉素滴眼液,外用，滴眼。一次2-3滴，一日4-8滴。
本品每1毫升含硫酸新霉素3.0毫克、地塞米松磷酸钠1.0毫克、玻璃酸钠2.0毫克。,巩膜炎,用于急、慢性结膜炎、角膜炎、巩膜炎等。,结膜炎角膜炎巩膜炎,复方硫酸新霉素滴眼液(卓明),外用，滴眼。一次1-2滴，一日3-5滴。
每瓶含托吡卡胺25mg，盐酸去氧肾上腺素25mg。,共同性斜视,散瞳药。检查用散瞳及调节麻痹剂。,麻痹,复方托吡卡胺滴眼液,一般临床常用0.5%托吡卡胺与0.5%盐酸去氧肾上腺素混合滴眼剂，两药合用有协同散瞳作用，...
